|为什么一直退款中啊，都一周了@百度糯米
退款慢|糯米网退个款是不是要退到地老天荒
退款慢|退款花了八天，你让以后谁敢用你的app购买？？@百度糯米
退款慢,团购券无法使用|@百度糯米客服小糯 ，你们退款太慢了，国庆节有些卷用不了！ 我在:http://t.cn/rhrxfqo
退款慢,客服差|你们这退款速度啊，能不能快点，1号到现在了，我朋友还等着用钱呢，不是2-5天嘛，还真等到第五天啊@百度糯米客服小糯 @百度糯米 大公司可不可以速度点，磨磨唧唧的。
退款难|回复@百度糯米客服小糯:骗人不带你们这么骗的啊，就几十块钱 还逗我呢我确认三次确实没看到我支付宝有退款的交易 你们 耍人的招数好厉害啊，2
退款难|投诉@百度糯米 恶意延迟退款，网上已有多人反应类似情况
退款难|百度糯米不退钱，无耻！
退款难|百度糯米垃圾玩意儿，不注册百度账号还不能用了，我买的东西没有消费就退不了。以后再也不用了 http://t.cn/rh13r3p
退款难|百度糯米我在你家团购申请退款后，这tm都多少天了马上都要拖到退款网页都没了，打客服过去什么垃圾客服连人工服务都没竟说一些p话，非要找到你公司烧纸钱拿两把砍刀去闹去各大网站天天发帖投诉你们才退款吗艹。看看人家美团看看你第一次团购就遇到这b事赶紧退款无良企业@百度糯米上海站 @百度糯米
退款难|百度糯米，最烂的团购软件没有之一，未消费说随便退，结果说没自己操作，就不给退，这次买了扣款了说未购买成功，自动退款了，还要2-5个工作日，这不摆明乱集资吗，还有客户也不专业，不停重复，又不解决问题，还只知道浪费客户电话费
退款难|@百度糯米 @消费者协会 最近在百度糯米上退钱，上面说2--5个工作日可以退钱，从9月30一直等到现在一直都是退款中，顺便上网搜一下，百度糯米真的很坑～～～[怒][怒][怒] http://t.cn/rhdwam5
退款难|@百度糯米 特别垃圾！我买的东西没有用，就不给退款！广告都是忽悠人的！@cctv315 @315在线投诉
退款难|@百度糯米 退个款就这么麻烦吗？？？ http://t.cn/rhgensp
退款难|简直就是无赖 ，还退到支付宝了，@支付宝 人家会骗人吗，你能跟人家比吗，骗子 退款退款，再也不相信你们糯米团了 太，，，，
退款难|糯米票随便退，怎么一个多星期了还不退款啊！！@百度糯米
退款难|@糯米网 你什么时候把我钱给一还→_→[衰][怒][怒][怒][怒]
退款难|糯米网在坑钱！我在它网站买了电影票～结果告诉我不能使用！我要求退款～又被告知要升级版本或者在手机下载！结果又不行！又退不了款！投诉到北京工商！但是工商更垃圾！到现在都没结果！真是不作为！！希望广大消费者不要相信糯米网！ http://t.cn/rhmdfyi
退款难|赶紧给我退款，你们百度糯米就是骗钱的大骗子
退款难,处理问题效率低|回复@百度糯米客服小糯:两天都没有给我核实处理，没有给我一个合理的解释，16块钱用于理财，每天还有利息了，你们不退我钱，欺诈我合法的消费者权益，影响我理财收益，造成我精神和经济上双重损失。
退款难,客服差|回复@百度糯米客服小糯:9月28日有一笔退款，而我这边没到账。查了半天给我了个"快钱"的交易号，说是让我去问，结果快钱那边并无此处理单号。…… 反过来再问糯米，客服半天都只是背书，根本不理问题何在，连自己处理的进度到哪里都不查就想又退出去，让我打电话问信用卡或支付宝。这不是敷衍和折腾人嘛？
退款难,客服差|百度糯米坑人，我于9月30日晚6点买了价值180的三张团购劵，上面清楚标明，未消费随便退，因有事无法消费申请退款，上面明确标注2到5个工作日处理，今天都10月8号了仍在退款中，打糯米客服，居然没有人工服务，求解决方案
闪退|刚刚下了个百度糯米，豌豆荚就开始闪退?尼玛
闪退|回复@一树石榴:卧槽我想换手机了我这jb三星天天糯米网闪退，充电冲不进去，问题是我根本没他妈用糯米网
霸王条款,无法注销用户|糯米网霸王条款！用户只能被封禁，不能自己注销！
